: 524.5/332.5 : Time 87, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 524.5/333 : Time 89, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 524/333 : Time 89, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 524/333.5 : Time 91, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 524/333.5 : Time 91, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 524/333.5 : Time 91, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 524/333.5 : Time 91, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 524/334 : Time 91, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 524/334 : Time 91, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 524/334.5 : Time 93, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 524/334.5 : Time 93, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 524/334.5 : Time 93, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 524/334.5 : Time 93, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 524/335 : Time 93, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/335.5 : Time 95, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/335.5 : Time 95, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/335.5 : Time 95, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/335.5 : Time 95, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/335.5 : Time 95, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/336 : Time 95, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/336.5 : Time 97, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/336.5 : Time 97, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/336.5 : Time 97, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/336.5 : Time 97, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/336.5 : Time 97, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/337.5 : Time 99, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/337.5 : Time 99, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/337.5 : Time 99, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/337.5 : Time 99, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/337.5 : Time 99, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/338 : Time 99, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/338.5 : Time 101, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/338.5 : Time 101, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/338.5 : Time 101, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/338.5 : Time 101, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/338.5 : Time 101, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/339 : Time 103, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/339.5 : Time 103, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/339.5 : Time 105, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/339.5 : Time 105, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/339.5 : Time 105, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/340 : Time 105, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/340.5 : Time 107, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/340.5 : Time 107, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/340.5 : Time 107, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/340.5 : Time 107, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/341 : Time 107, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/341 : Time 107, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/341.5 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/341.5 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/341.5 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/342 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/342 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/342 : Time 109, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/342.5 : Time 111, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/342.5 : Time 111, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/343 : Time 111, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/343 : Time 111, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/343 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/343 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/343.5 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/343.5 : Time 113, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 522.5/344 : Time 115, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/344 : Time 115, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/344 : Time 115, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/344 : Time 115, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/344.5 : Time 115, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/345 : Time 117, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/345 : Time 117, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/345 : Time 117, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/345 : Time 117, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/345 : Time 117, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/346 : Time 119, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/346 : Time 119, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/346 : Time 119, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/346 : Time 119, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/346 : Time 119, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/347 : Time 121, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/347 : Time 121, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/347 : Time 121, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/347 : Time 121, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/347 : Time 121, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/347 : Time 121, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523/348 : Time 123, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/348 : Time 123, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/348 : Time 123, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/348 : Time 123, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/348 : Time 123, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/348.5 : Time 123, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 523.5/349 : Time 125, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 523.5/349 : Time 125, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 524/349 : Time 125, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 523.5/349 : Time 125, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 524/349.5 : Time 127, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 524/349.5 : Time 127, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 524/350 : Time 127, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 524/350 : Time 127, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 524/350 : Time 127, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 524/350.5 : Time 129, L1 State: GL-L, L2 State: GL--, (1 - 0): 
: 524/350.5 : Time 129, L1 State: GL-L, L2 State: GL--, (1 - 0): 
