: 527.5/346 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 527.5/346.5 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 527.5/346.5 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 527/346.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 526.5/346.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 526.5/346.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 526.5/346.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 526.5/346.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 526.5/346.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 525.5/346.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 525.5/346.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 525.5/346.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 525.5/346.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 525.5/347 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 525.5/347 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 524.5/347 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 524.5/347 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 524.5/347 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 524.5/347 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 524.5/347 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 524/347 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 523.5/347 : Time 57, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 523.5/347.5 : Time 57, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 523.5/347.5 : Time 57, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 523.5/347 : Time 57, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 523/347.5 : Time 57, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 523/347.5 : Time 57, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 522.5/347.5 : Time 59, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 522.5/347.5 : Time 59, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 522.5/347.5 : Time 59, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 522/347.5 : Time 59, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 522/347.5 : Time 59, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 521.5/347.5 : Time 61, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 521.5/347.5 : Time 61, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 521.5/347.5 : Time 61, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 521.5/347.5 : Time 61, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 521/347.5 : Time 61, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 521/347.5 : Time 61, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 520.5/347.5 : Time 63, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 520.5/347.5 : Time 63, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 520.5/347.5 : Time 63, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 520/347.5 : Time 63, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 520/347.5 : Time 63, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 520/347.5 : Time 63, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 519.5/347.5 : Time 65, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 519.5/347.5 : Time 65, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 519/347.5 : Time 65, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 519/347.5 : Time 65, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 519/347.5 : Time 65, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 519/347.5 : Time 65, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 518.5/347.5 : Time 67, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 518/347.5 : Time 67, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 518/347.5 : Time 67, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 518/347.5 : Time 67, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 518/347 : Time 69, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 518/347.5 : Time 69, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 517/347 : Time 71, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 517/347 : Time 71, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 517/347 : Time 71, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 517/347 : Time 71, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 517/347 : Time 71, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 516/347 : Time 73, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 516/347 : Time 73, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 516/347 : Time 73, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 516/347 : Time 73, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 516/347 : Time 73, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 516/347 : Time 73, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 515/347 : Time 75, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 515/347 : Time 75, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 515/347 : Time 75, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 515/347 : Time 75, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 515/347 : Time 75, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 514.5/346.5 : Time 75, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 514/347 : Time 77, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 514/346.5 : Time 77, L1 State: GL-L, L2 State: GL--, (0 - 0): 
: 514/346.5 : Time 77, L1 State: GL-L, L2 State: GL--, (0 - 0): 
