Type 6: rect. pattern
: 697/233.5 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 696.5/233 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 696.5/233 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 696.5/233.5 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 696.5/233.5 : Time 49, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 696/233.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 695.5/233.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 695.5/233.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 695.5/233.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 695.5/233.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 695.5/233.5 : Time 51, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 694.5/233.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 694.5/233.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 694.5/233.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 694.5/233.5 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 694.5/234 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 694.5/234 : Time 53, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 693.5/233.5 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 693.5/234 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 693.5/234 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 693.5/234 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 693.5/234 : Time 55, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 693/234 : Time 57, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 692.5/234 : Time 57, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 692.5/234.5 : Time 59, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 692.5/234.5 : Time 59, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 692.5/234 : Time 59, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 692/234.5 : Time 59, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 692/234.5 : Time 59, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 691.5/234.5 : Time 61, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 691.5/234.5 : Time 61, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 691.5/234.5 : Time 61, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 691/234.5 : Time 61, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 691/234.5 : Time 61, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 690.5/234.5 : Time 63, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 690.5/234.5 : Time 63, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 690.5/234.5 : Time 63, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 690.5/234.5 : Time 63, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 690/234.5 : Time 63, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 690/234.5 : Time 63, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 689.5/234.5 : Time 65, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 689.5/234.5 : Time 65, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 689.5/234.5 : Time 65, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 689/234.5 : Time 65, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 689/234.5 : Time 65, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 689/234.5 : Time 65, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 688.5/234.5 : Time 67, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 688.5/234.5 : Time 67, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 688/234.5 : Time 67, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 688/234.5 : Time 67, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 688/234.5 : Time 67, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 688/234.5 : Time 67, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 687.5/234.5 : Time 69, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 687/234.5 : Time 69, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 687/234.5 : Time 69, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 687/234.5 : Time 69, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 687/234 : Time 71, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 687/234.5 : Time 71, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 686/234 : Time 73, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 686/234 : Time 73, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 686/234 : Time 73, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 686/234 : Time 73, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 686/234 : Time 73, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 685/234 : Time 75, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 685/234 : Time 75, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 685/234 : Time 75, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 685/234 : Time 75, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 685/234 : Time 75, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 685/234 : Time 75, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 684/234 : Time 77, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 684/234 : Time 77, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 684/234 : Time 77, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 684/234 : Time 77, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 684/234 : Time 77, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 683.5/233.5 : Time 77, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 683/234 : Time 79, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 683/233.5 : Time 79, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 683/233.5 : Time 79, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 683/233.5 : Time 79, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 682.5/233.5 : Time 79, L1 State: GL--, L2 State: GL--, (0 - 0): 
