: 587/448 : Time 73, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 587/448 : Time 73, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 587/448 : Time 73, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 586/448 : Time 75, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 586/448 : Time 75, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 586/448 : Time 75, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 586/448 : Time 75, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 586/448 : Time 75, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 585.5/447.5 : Time 75, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 585/448 : Time 77, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 585/447.5 : Time 77, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 585/447.5 : Time 77, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 585/447.5 : Time 77, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 584.5/447.5 : Time 77, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 584.5/447.5 : Time 77, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 584/447.5 : Time 79, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 584/447.5 : Time 79, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 584/447 : Time 79, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 583.5/447.5 : Time 79, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 583.5/447 : Time 81, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 583.5/447 : Time 81, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 583/447 : Time 81, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 583/447 : Time 81, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 583/447 : Time 81, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 582.5/447 : Time 83, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 582.5/447 : Time 83, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 582.5/447 : Time 83, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 582/447 : Time 83, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 582/447 : Time 83, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 581.5/447 : Time 85, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 581.5/447 : Time 85, L1 State: GL--, L2 State: GL--, (0 - 0): 
