: 576.5/205 : Time 53, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 576/205 : Time 53, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 575.5/205 : Time 55, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 575.5/205 : Time 55, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 575.5/205 : Time 55, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 575.5/205 : Time 55, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 575.5/205.5 : Time 55, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 574.5/205.5 : Time 57, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 574.5/205.5 : Time 57, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 574.5/205.5 : Time 57, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 574.5/205.5 : Time 57, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 574/205.5 : Time 57, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 573.5/205.5 : Time 59, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 573.5/205.5 : Time 59, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 573.5/205.5 : Time 59, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 573.5/206 : Time 59, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 573/206 : Time 61, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 572.5/206 : Time 61, L1 State: WAIT, L2 State: GL--, (0 - 0): 
: 572.5/206.5 : Time 63, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 572.5/206.5 : Time 63, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 572.5/206.5 : Time 63, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 572/206.5 : Time 63, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 571.5/206.5 : Time 65, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 571.5/206.5 : Time 65, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 571.5/206.5 : Time 65, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 571.5/206.5 : Time 65, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 571/206.5 : Time 65, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 570.5/206.5 : Time 67, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 570.5/206.5 : Time 67, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 570.5/206.5 : Time 67, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 570/206.5 : Time 67, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 570/206.5 : Time 67, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 570/206.5 : Time 67, L1 State: TURN, L2 State: GL--, (1 - 0): 
: 569.5/207 : Time 69, L1 State: GL--, L2 State: GL--, (1 - 0): 
: 569.5/207 : Time 69, L1 State: GL--, L2 State: GL--, (1 - 0): 
