: 724/274.5 : Time 19, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 724/274.5 : Time 19, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 724/275.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 724/275.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 724/275.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 724/275.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 723.5/275.5 : Time 21, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 723/275.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 723/275.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 723/275.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 723/275.5 : Time 23, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 723/276.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 723/276.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 722.5/276.5 : Time 25, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 722/276.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 722/276.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 722/276.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 722/276.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 722/276.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 721.5/276.5 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 721.5/277 : Time 27, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 721/277 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 721/277 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 721/277.5 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 721/277.5 : Time 29, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 720.5/277.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 720.5/277.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 720/277.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 720/277.5 : Time 31, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 720/278 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 720/278 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 719.5/278 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 719.5/278 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 719.5/278 : Time 33, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 719/278 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 719/278 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 719/278.5 : Time 35, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 718.5/278.5 : Time 37, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 718.5/279 : Time 37, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 718.5/279 : Time 37, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 718/279 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 718/279 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 718/279 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 717.5/279 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 717.5/279 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 717.5/279 : Time 39, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 717/279 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 717/279 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 717/279 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
: 716.5/279 : Time 41, L1 State: GL--, L2 State: GL--, (0 - 0): 
